,Unnamed: 0,id,name,steam appid,required age,is free,release date,review_amount,review_score,total_positive_reviews,total_negative_reviews,price,currency,discount_percent,platforms.windows,platforms.mac,platforms.linux,revenue,number_reviews
0,0,1198490,All That Remains: Part 1,1198490,0,0,"16 Apr, 2021",1,0,1,3,2.39,EUR,0.0,1,1,0,5.390000000000001,4
1,1,1198510,Paperball,1198510,0,0,"27 Mar, 2020",2,8,130,4,9.99,EUR,0.0,1,0,0,1302.7,134
2,2,1198550,Moderium,1198550,0,0,"7 Jan, 2020",1,0,1,0,0.79,EUR,0.0,1,0,0,0.79,1
3,3,1198600,Pizza Time Explosion,1198600,0,0,"17 Dec, 2019",18,7,17,1,4.99,EUR,0.0,1,0,0,85.83,18
4,4,1198630,Customer Cums First!,1198630,0,0,"17 Jan, 2020",1,7,8,2,9.99,EUR,0.0,1,1,1,81.92,10
5,5,1198700,Chained: A Victorian Nightmare,1198700,0,0,"19 Dec, 2019",1,6,12,4,3.99,EUR,0.0,1,0,0,51.88,16
6,6,1198730,Hentai Police,1198730,0,0,"17 Jan, 2020",1,8,105,22,0.79,EUR,0.0,1,1,1,104.95,127
7,7,1198740,Colony Siege,1198740,0,0,"7 Sep, 2020",1,8,72,6,12.49,EUR,0.0,1,0,0,905.28,78
8,8,1198810,Wolf and Pigs,1198810,0,0,"13 May, 2020",1,0,5,1,16.79,EUR,0.0,1,0,0,84.94999999999999,6
9,9,1198820,Monster Girl Garden,1198820,0,0,"17 Jan, 2020",1,5,9,5,8.19,EUR,0.0,1,0,0,78.71,14
10,10,1198210,Dogworld,1198210,0,0,"18 Mar, 2021",1,8,55,1,12.49,EUR,0.0,1,0,0,687.95,56
11,11,1198220,Slave Girl Reno,1198220,0,0,"12 Dec, 2019",3,0,1,2,3.99,EUR,0.0,1,0,0,5.99,3
12,12,1198240,Danger City,1198240,0,0,"20 Dec, 2019",1,0,2,2,9.99,EUR,0.0,1,0,0,21.98,4
13,13,1198270,The Button Witch,1198270,0,0,"27 Dec, 2020",7,0,7,0,12.49,EUR,0.0,1,0,0,87.43,7
14,14,1198290,Space Block Buster,1198290,0,0,"20 Dec, 2019",14,7,14,0,8.19,EUR,0.0,1,0,0,114.66,14
15,15,1198310,Mr.King Luo!Don't be kidding,1198310,0,0,"10 Feb, 2020",1,0,1,0,3.29,EUR,0.0,1,0,0,3.29,1
16,16,1198340,Summoner VR,1198340,0,0,"23 Dec, 2019",1,0,1,0,4.99,EUR,0.0,1,0,0,4.99,1
17,17,1198380,COWBOY YAKUZA,1198380,0,0,"17 Feb, 2020",3,0,2,1,8.19,EUR,0.0,1,0,0,17.38,3
18,18,1198390,Kawaii Girl,1198390,0,0,"25 Apr, 2020",6,0,4,2,0.79,EUR,0.0,1,0,0,5.16,6
19,19,1198400,Rhythm Fighter,1198400,0,0,"27 May, 2020",1,7,14,0,12.49,EUR,0.0,1,1,0,174.86,14
20,20,1198440,The Burning Descent,1198440,0,0,"30 Apr, 2020",2,0,2,0,24.99,EUR,0.0,1,0,0,49.98,2
21,21,1198450,The Secret Order 8: Return to the Buried Kingdom,1198450,0,0,"30 Jan, 2020",20,7,25,5,14.99,EUR,0.0,1,1,1,379.75,30
22,22,1197990,"Shoot, push, portals",1197990,0,0,"9 Dec, 2019",1,7,11,1,0.79,EUR,0.0,1,0,0,9.690000000000001,12
23,23,1198020,Braverz,1198020,0,0,"14 Jan, 2020",1,0,0,1,9.0,EUR,0.0,1,0,0,1.0,1
24,24,1198040,Wide Ocean Big Jacket,1198040,0,0,"4 Feb, 2020",6,8,133,4,6.59,EUR,0.0,1,1,0,880.47,137
25,25,1198050,War Remains: Dan Carlin Presents an Immersive Memory,1198050,0,0,"21 May, 2020",1,6,55,17,3.99,EUR,0.0,1,0,0,236.45000000000002,72
26,26,1198060,Christmas Stories: Enchanted Express Collector's Edition,1198060,0,0,"6 Dec, 2019",6,0,4,2,8.19,EUR,0.0,1,0,0,34.76,6
27,27,1198070,The Christmas Spirit: Grimm Tales Collector's Edition,1198070,0,0,"13 Dec, 2019",8,0,8,0,8.19,EUR,0.0,1,0,0,65.52,8
28,28,1198080,Westminster Darkly,1198080,0,0,"1 Aug, 2020",2,0,1,1,3.29,EUR,0.0,1,0,0,4.29,2
29,29,1198090,The Legend of Heroes: Trails of Cold Steel IV,1198090,0,0,"9 Apr, 2021",4,8,625,38,59.99,EUR,0.0,1,0,0,37531.75,663
30,30,1198110,Fantasy Realm TD,1198110,0,0,"11 Dec, 2019",3,0,2,1,8.19,EUR,0.0,1,0,0,17.38,3
31,31,1197520,Familia,1197520,0,0,Dec 2019,13,7,13,0,3.99,EUR,0.0,1,1,0,51.870000000000005,13
32,32,1197530,Planet Modular TD,1197530,0,0,"12 Dec, 2019",5,0,4,1,8.19,EUR,0.0,1,0,0,33.76,5
33,33,1197550,Ouction,1197550,0,0,"22 Jan, 2020",1,4,4,13,6.59,EUR,0.0,1,0,0,39.36,17
34,34,1197570,Until We Die,1197570,0,0,"3 Jun, 2021",10,6,400,121,13.99,EUR,0.0,1,0,0,5717.0,521
35,35,1197590,Waifu Uncovered,1197590,0,0,"10 Apr, 2020",1,7,38,8,3.99,EUR,0.0,1,0,0,159.62,46
36,36,1197670,Robin Hood: Country Heroes,1197670,0,0,"27 Nov, 2019",1,0,1,0,5.69,EUR,0.0,1,0,0,5.69,1
37,37,1197700,Hermes: War of the Gods,1197700,0,0,"4 Dec, 2019",1,0,1,0,5.69,EUR,0.0,1,0,0,5.69,1
38,38,1197710,Golden Rails: Tales of the Wild West,1197710,0,0,"11 Dec, 2019",2,0,2,0,5.69,EUR,0.0,1,0,0,11.38,2
39,39,1197770,Lilly Knight and the Three Cities of Lust,1197770,0,0,"6 Dec, 2019",1,6,93,27,9.99,EUR,20.0,1,0,0,956.07,120
40,40,1197820,Craftlands Workshoppe,1197820,0,0,"13 Oct, 2020",2,6,35,10,16.99,EUR,0.0,1,0,0,604.65,45
41,41,1197840,The incredible friends,1197840,0,0,"4 Dec, 2019",1,0,0,1,1.59,EUR,0.0,1,0,0,1.0,1
42,42,1197010,TAL: Wizard's Adventures,1197010,0,0,"11 Dec, 2019",5,0,4,1,1.59,EUR,0.0,1,0,0,7.36,5
43,43,1197020,Tale of the Gallant Jiraiya,1197020,0,0,"26 Dec, 2019",1,0,1,0,8.99,EUR,0.0,1,0,0,8.99,1
44,44,1197030,Mystic Pillars: A Story-Based Puzzle Game,1197030,0,0,"4 Mar, 2020",2,7,32,2,5.69,EUR,0.0,1,0,0,184.08,34
45,45,1197060,FUNGI,1197060,0,1,"27 Dec, 2019",2,0,2,0,,,,1,1,0,,2
46,46,1197100,Red Mercenary,1197100,0,0,"10 Feb, 2020",1,0,4,2,9.99,EUR,0.0,1,0,0,41.96,6
47,47,1197110,Advancity,1197110,0,0,"22 Apr, 2020",5,0,1,4,12.49,EUR,0.0,1,0,0,16.490000000000002,5
48,48,1197150,Em-A-Li,1197150,0,0,"2 Jan, 2020",1,0,5,1,1.59,EUR,0.0,1,0,0,8.95,6
49,49,1197210,HentaiTeachers,1197210,0,0,"11 Jan, 2020",4,0,3,1,0.79,EUR,0.0,1,0,0,3.37,4
50,50,1197230,Biba`s Adventures — Hardcore Platformer,1197230,0,0,"30 Jan, 2020",9,0,8,1,2.39,EUR,0.0,1,1,1,20.12,9
51,51,1197340,Dead territory,1197340,0,0,"17 Dec, 2019",1,0,0,1,3.99,EUR,0.0,1,0,0,1.0,1
52,52,1197350,Santa's Big Sack,1197350,0,0,"20 Dec, 2019",11,7,11,0,3.99,EUR,0.0,1,0,0,43.89,11
53,53,1197360,The Santa Challenge,1197360,0,0,"22 Dec, 2019",1,0,1,0,2.39,EUR,0.0,1,1,1,2.39,1
54,54,1197370,Suite 776,1197370,0,0,"6 Dec, 2019",1,8,228,22,3.29,EUR,0.0,1,0,0,772.12,250
55,55,1197380,Flashover MegaSector,1197380,0,0,"7 Dec, 2019",1,0,1,0,0.79,EUR,0.0,1,0,0,0.79,1
56,56,1197390,Robot Island,1197390,0,0,"16 Jun, 2020",19,7,19,0,1.57,EUR,34.0,1,1,0,29.830000000000002,19
57,57,1197500,Groove Runner,1197500,0,0,"9 Dec, 2019",1,0,1,0,3.99,EUR,0.0,1,0,0,3.99,1
58,58,1196750,Hentai Match Fantasy Stories,1196750,0,0,"18 Dec, 2019",7,0,4,3,2.19,EUR,50.0,1,0,0,11.76,7
59,59,1196800,TaniNani,1196800,0,0,"23 Jan, 2020",14,7,14,0,3.99,EUR,0.0,1,1,1,55.86,14
60,60,1196890,Puzzle Tower,1196890,0,0,"13 Jan, 2020",10,7,9,1,1.59,EUR,0.0,1,0,0,15.31,10
61,61,1196940,Particulate,1196940,0,0,"16 Dec, 2019",5,0,5,0,8.19,EUR,0.0,1,0,0,40.949999999999996,5
62,62,1196970,Vile Matter,1196970,0,0,"13 Jan, 2020",1,0,3,0,2.39,EUR,0.0,1,0,0,7.17,3
63,63,1196260,Draft Day Sports: Pro Basketball 2020,1196260,0,0,"29 Nov, 2019",6,0,2,4,16.79,EUR,0.0,1,0,0,37.58,6
64,64,1196280,Pussy Puzzle,1196280,0,0,"9 Jun, 2020",3,0,3,0,3.99,EUR,0.0,1,1,1,11.97,3
65,65,1196350,ATROFIL: THE KEY,1196350,0,0,"16 Dec, 2019",1,0,0,1,2.39,EUR,0.0,1,1,0,1.0,1
66,66,1196380,Automaton,1196380,0,0,"3 Aug, 2020",3,0,1,2,4.99,EUR,0.0,1,0,0,6.99,3
67,67,1196390,Fairy Godmother Stories: Cinderella Collector's Edition,1196390,0,0,"22 Nov, 2019",5,0,5,0,8.19,EUR,0.0,1,0,0,40.949999999999996,5
68,68,1196400,Mystery Case Files: Black Crown Collector's Edition,1196400,0,0,"27 Nov, 2019",20,7,20,5,8.19,EUR,0.0,1,0,0,168.79999999999998,25
69,69,1196440,Potion Party,1196440,0,0,"8 Apr, 2021",2,7,12,0,9.99,EUR,0.0,1,0,0,119.88,12
70,70,1196450,Stop Sign VR Tools,1196450,0,0,"17 Dec, 2019",1,7,23,3,4.99,EUR,0.0,1,0,0,117.77000000000001,26
71,71,1196500,Party Arena: Board Game Battler,1196500,0,0,"7 Jul, 2020",20,7,16,4,3.99,EUR,0.0,1,0,0,67.84,20
72,72,1196520,The Secret of Hutton Grammar School,1196520,0,0,"10 Dec, 2019",6,0,4,2,0.79,EUR,0.0,1,0,0,5.16,6
73,73,1196550,Days Gone By,1196550,0,0,"9 Dec, 2019",1,0,1,0,1.59,EUR,0.0,1,1,1,1.59,1
74,74,1196570,Suzunaan on Fire,1196570,0,0,"31 Dec, 2019",3,0,2,1,1.59,EUR,0.0,1,0,0,4.18,3
75,75,1196580,The Pale City,1196580,0,0,"19 Mar, 2020",6,0,6,0,6.59,EUR,0.0,1,0,0,39.54,6
76,76,1196630,Nexomon: Extinction,1196630,0,0,"28 Aug, 2020",7,8,627,71,12.99,EUR,35.0,1,1,0,8215.73,698
77,77,1196690,OctaFight,1196690,0,0,"7 Apr, 2020",1,0,1,0,4.99,EUR,0.0,1,1,0,4.99,1
78,78,1195910,Dead Dreams,1195910,0,0,"6 Feb, 2020",20,7,21,1,6.99,EUR,0.0,1,0,0,147.79,22
79,79,1195920,Solar Panic: Utter Distress,1195920,0,0,"28 Jan, 2020",15,7,12,3,14.99,EUR,0.0,1,0,0,182.88,15
80,80,1195980,Noble Woman's Pastries,1195980,0,0,"4 Dec, 2019",1,0,1,0,5.69,EUR,0.0,1,0,0,5.69,1
81,81,1196080,Space Simulation Toolkit,1196080,0,0,"5 Jun, 2020",2,7,33,4,12.49,EUR,0.0,1,0,0,416.17,37
82,82,1196130,Top Run,1196130,0,0,"10 Feb, 2020",3,0,3,0,3.99,EUR,0.0,1,1,0,11.97,3
83,83,1196160,British Gangsters,1196160,0,0,"17 Dec, 2019",1,0,1,2,2.39,EUR,0.0,1,0,0,4.390000000000001,3
84,84,1196170,Gang District,1196170,0,0,"5 Dec, 2019",4,0,4,0,8.19,EUR,0.0,1,0,0,32.76,4
85,85,1196190,KUMO The Little Robot,1196190,0,0,"2 Dec, 2019",2,0,1,1,0.79,EUR,0.0,1,0,0,1.79,2
86,86,1195530,The Tawashi,1195530,0,0,"21 Jan, 2020",2,0,9,0,8.19,EUR,0.0,1,0,0,73.71,9
87,87,1195550,Gamedev simulator,1195550,0,0,"4 Dec, 2019",2,0,0,2,1.59,EUR,0.0,1,0,0,2.0,2
88,88,1195560,Alek - The Lost Kingdom,1195560,0,0,"26 Mar, 2021",2,8,77,18,16.79,EUR,0.0,1,0,0,1310.83,95
89,89,1195570,Dark Invasion VR,1195570,0,0,"12 Dec, 2019",2,0,2,0,8.19,EUR,0.0,1,0,0,16.38,2
90,90,1195620,Ocean Drive Challenge Remastered,1195620,0,0,"27 Dec, 2019",2,0,2,0,4.99,EUR,0.0,1,0,0,9.98,2
91,91,1195710,Monster Viator,1195710,0,0,"4 Feb, 2020",4,0,4,0,14.99,EUR,0.0,1,0,0,59.96,4
92,92,1195870,零界战线,1195870,0,0,"18 Dec, 2019",1,0,1,0,0.79,EUR,0.0,1,0,0,0.79,1
93,93,1195230,Darkness and Flame: Enemy in Reflection,1195230,0,0,"24 Dec, 2019",19,7,19,0,5.69,EUR,0.0,1,0,0,108.11000000000001,19
94,94,1195270,iFAction Game Maker,1195270,0,0,"15 Jan, 2020",1,7,17,2,58.99,EUR,0.0,1,0,0,1004.83,19
95,95,1195320,Mokoko,1195320,0,0,"Feb 17, 2020",2,7,39,0,4.99,USD,0.0,1,1,1,194.61,39
96,96,1195350,Your little story: Winter,1195350,0,0,"18 Dec, 2019",4,0,3,1,2.39,EUR,0.0,1,0,0,8.17,4
97,97,1195360,Re:Turn - One Way Trip,1195360,16,0,"14 Oct, 2020",1,6,30,10,9.99,EUR,0.0,1,0,0,309.7,40
98,98,1195410,Trial of the Gods: Siralim CCG,1195410,0,0,"13 Mar, 2020",20,7,20,2,5.39,EUR,50.0,1,0,0,109.8,22
99,99,1195430,Fight High,1195430,0,0,"20 Feb, 2020",4,0,4,0,3.99,EUR,0.0,1,0,0,15.96,4
100,100,1195460,Last Year,1195460,0,0,"9 Dec, 2019",12,5,1355,708,8.19,EUR,0.0,1,0,0,11805.449999999999,2063
101,101,1194910,Celestial,1194910,0,0,"10 Jan, 2020",3,0,3,0,6.59,EUR,0.0,1,0,0,19.77,3
102,102,1194940,Tower of Shades,1194940,0,0,"15 Jan, 2020",16,7,13,3,1.59,EUR,0.0,1,0,0,23.67,16
103,103,1195020,Guardians of the Ashes,1195020,0,0,"30 May, 2020",1,6,82,21,2.39,EUR,0.0,1,0,0,216.98000000000002,103
104,104,1195090,Hippoboar Rancher ~かばいの牧場物語~,1195090,0,0,"31 Mar, 2020",1,0,1,0,8.19,EUR,0.0,1,0,0,8.19,1
105,105,1195140,URG,1195140,0,0,"1 Feb, 2021",1,0,2,0,16.79,EUR,0.0,1,1,1,33.58,2
106,106,1195170,Rebound Ball,1195170,0,0,"19 Dec, 2019",4,0,2,2,0.79,EUR,0.0,1,0,0,3.58,4
107,107,1194480,Cursed Gem,1194480,0,1,"3 Aug, 2020",11,7,11,0,,,,1,1,1,,11
108,108,1194590,Star Dynasties,1194590,0,0,"16 Mar, 2021",2,6,72,26,21.99,EUR,0.0,1,0,0,1609.28,98
109,109,1194600,Bronze Hoof,1194600,0,1,"11 Dec, 2019",1,0,1,0,,,,1,0,0,,1
110,110,1194610,Knights of the Temple: Infernal Crusade,1194610,0,0,"25 Dec, 2019",13,7,11,2,9.99,EUR,0.0,1,0,0,111.89,13
111,111,1194630,The Dark Pictures Anthology: Little Hope,1194630,18,0,"29 Oct, 2020",3,6,943,390,29.99,EUR,0.0,1,0,0,28670.57,1333
112,112,1194650,ReFrame,1194650,0,0,"12 Dec, 2019",1,0,0,1,6.59,EUR,0.0,1,0,0,1.0,1
113,113,1194670,Fairyfail,1194670,0,0,"22 Jul, 2021",1,0,2,0,17.99,EUR,0.0,1,0,0,35.98,2
114,114,1194680,ZooKeeper Simulator,1194680,0,0,"12 Dec, 2019",1,8,100,12,3.99,EUR,0.0,1,0,0,411.0,112
115,115,1194690,Creatry — Easy Game Maker & Game Builder App,1194690,0,0,"14 Aug, 2020",7,0,1,6,19.99,EUR,0.0,1,0,0,25.99,7
116,116,1194700,House Flipper VR,1194700,0,0,"5 Nov, 2020",4,5,59,43,16.79,EUR,0.0,1,0,0,1033.61,102
117,117,1194720,No School No Rules,1194720,0,0,"17 Jun, 2021",2,0,2,1,1.59,EUR,0.0,1,0,0,4.18,3
118,118,1194790,Kessler Effect,1194790,0,0,"25 Mar, 2020",8,0,4,4,3.99,EUR,0.0,1,0,0,19.96,8
119,119,1194830,Master Bladesmith,1194830,0,0,"3 Feb, 2020",1,8,186,18,24.99,EUR,0.0,1,0,0,4666.139999999999,204
120,120,1194840,Frog Fractions: Game of the Decade Edition,1194840,0,1,"2 Aug, 2020",20,8,65,0,,,,1,1,0,,65
121,121,1193990,Trapped,1193990,0,0,"28 Dec, 2019",1,7,11,2,3.29,EUR,0.0,1,0,0,38.19,13
122,122,1194050,Orange Cast: Sci-Fi Space Action Game,1194050,0,0,"21 Jan, 2021",1,6,36,14,13.99,EUR,0.0,1,0,0,517.64,50
123,123,1194100,Musical Aim Trainer,1194100,0,0,"15 Dec, 2019",1,0,0,1,2.39,EUR,0.0,1,0,0,1.0,1
124,124,1194140,Blind Justice,1194140,0,0,"16 Dec, 2019",1,5,20,15,8.19,EUR,0.0,1,0,0,178.79999999999998,35
125,125,1194160,One-Eyed Lee and the Dinner Party,1194160,0,0,"18 Dec, 2019",5,0,5,0,3.99,EUR,0.0,1,0,1,19.950000000000003,5
126,126,1194170,Foe Frenzy,1194170,0,0,"13 Dec, 2019",1,0,1,0,5.69,EUR,0.0,1,1,1,5.69,1
127,127,1194220,Zombie Tag Royale,1194220,0,0,"12 Dec, 2019",2,0,2,0,1.59,EUR,0.0,1,0,0,3.18,2
128,128,1194380,Volleyball Fever Flat,1194380,0,0,"4 Dec, 2019",1,0,1,0,2.39,EUR,0.0,1,0,0,2.39,1
129,129,1194390,The Land of Crows,1194390,0,1,"23 Dec, 2019",4,0,4,0,,,,1,0,0,,4
130,130,1193660,Jack-O-Lantern Covers of Darkness,1193660,0,0,"14 Dec, 2019",2,0,3,0,5.0,EUR,0.0,1,0,0,15.0,3
131,131,1193730,Piece Of Mind,1193730,0,0,"25 May, 2021",2,0,0,2,12.49,EUR,0.0,1,0,0,2.0,2
132,132,1193780,Tower Climb,1193780,0,0,"11 Dec, 2019",2,0,2,0,3.99,EUR,0.0,1,0,0,7.98,2
133,133,1193790,UNHERD,1193790,0,0,"15 Feb, 2021",1,0,4,1,5.69,EUR,0.0,1,1,1,23.76,5
134,134,1193830,Jeremiah,1193830,0,0,"26 Mar, 2020",1,0,1,0,1.59,EUR,0.0,1,0,0,1.59,1
135,135,1193930,Ping Pong Space - Retro Tennis,1193930,0,0,"5 Dec, 2019",2,0,2,0,0.41,EUR,86.0,1,1,0,0.82,2
136,136,1193950,Dashbot Ninja,1193950,0,0,"28 Nov, 2019",1,0,1,0,3.99,EUR,0.0,1,0,0,3.99,1
137,137,1193110,Love love demon ji-恋恋妖姬,1193110,0,0,"26 Nov, 2019",3,0,2,1,,,,1,0,0,,3
138,138,1193160,Bomber Fox,1193160,0,0,"19 Dec, 2019",1,0,0,1,3.99,EUR,0.0,1,0,0,1.0,1
139,139,1193200,K37-D,1193200,0,0,"22 Dec, 2019",3,0,3,0,3.99,EUR,0.0,1,0,0,11.97,3
140,140,1193210,Hunt the Muglump,1193210,0,0,"15 Mar, 2020",3,0,3,0,0.79,EUR,0.0,1,0,0,2.37,3
141,141,1193300,Axe Cop,1193300,0,0,"25 Nov, 2020",7,0,7,0,8.19,EUR,0.0,1,0,0,57.33,7
142,142,1193330,Together - A Wish No One Remembers,1193330,0,0,"20 Jan, 2020",1,0,5,0,8.99,EUR,0.0,1,1,1,44.95,5
143,143,1193340,Zelter,1193340,0,0,"22 Oct, 2020",4,6,240,65,19.99,EUR,0.0,1,0,0,4862.599999999999,305
144,144,1193420,The Dis-United States Of America,1193420,0,0,"27 Nov, 2019",1,0,1,0,0.79,EUR,0.0,1,0,1,0.79,1
145,145,1193450,Stripper Anya: Christmas Special,1193450,0,0,"16 Dec, 2019",1,0,0,1,8.19,EUR,0.0,1,0,0,1.0,1
146,146,1193460,Bunny Sudoku,1193460,0,0,"29 Nov, 2019",1,0,3,1,2.39,EUR,0.0,1,0,1,8.17,4
147,147,1193490,A Crooked Heart,1193490,0,0,"8 Jan, 2021",2,0,2,0,1.59,EUR,0.0,1,0,0,3.18,2
148,148,1193520,Space Climber,1193520,0,0,"11 Dec, 2019",2,0,1,1,3.29,EUR,0.0,1,0,0,4.29,2
149,149,1193560,Roast Party,1193560,0,0,"28 Aug, 2020",6,0,6,0,0.79,EUR,0.0,1,0,0,4.74,6
150,150,1192580,Nyanco Dream,1192580,0,0,"23 Nov, 2019",13,6,10,3,0.79,EUR,0.0,1,0,0,10.9,13
151,151,1192610,ANIME REDEMPTION,1192610,0,0,"10 Feb, 2020",2,8,132,30,1.99,EUR,0.0,1,0,0,292.68,162
152,152,1192640,Hentai Mosaique Neko Waifus,1192640,0,0,"27 Jan, 2020",17,8,394,21,1.59,EUR,0.0,1,0,1,647.46,415
153,153,1192730,ADULT SHERIFF,1192730,0,0,"4 Jan, 2020",1,5,44,23,0.79,EUR,0.0,1,0,1,57.760000000000005,67
154,154,1192740,Woman's body: For adults 2,1192740,0,0,"1 Dec, 2019",4,0,3,1,2.39,EUR,0.0,1,0,0,8.17,4
155,155,1192840,The Shenanigans of Cherry and Trix,1192840,0,0,"20 Dec, 2019",1,0,1,0,6.59,EUR,0.0,1,0,0,6.59,1
156,156,1192860,Winter Snow | 冬雪,1192860,0,0,"18 Dec, 2019",1,0,1,0,0.79,EUR,0.0,1,0,0,0.79,1
157,157,1192880,Nostalgiarian,1192880,0,0,"5 Jan, 2020",1,0,0,1,1.59,EUR,0.0,1,0,0,1.0,1
158,158,1192890,Shoot Them,1192890,0,0,"3 Dec, 2019",20,5,16,7,0.79,EUR,0.0,1,0,0,19.64,23
159,159,1192910,食用系少女：美食內戰 Food Girls：Civil War,1192910,0,0,"13 Dec, 2019",2,0,2,0,16.79,EUR,0.0,1,1,0,33.58,2
160,160,1192070,TriangleStorm,1192070,0,0,"19 Nov, 2019",1,0,1,0,0.79,EUR,0.0,1,0,0,0.79,1
161,161,1192160,Section Six,1192160,0,0,"19 May, 2020",1,0,1,0,2.99,EUR,0.0,1,0,1,2.99,1
162,162,1192260,Labyrinths of the World: The Wild Side Collector's Edition,1192260,0,0,"3 Jan, 2020",3,0,3,0,8.19,EUR,0.0,1,0,0,24.57,3
163,163,1192270,Royal Detective: The Last Charm Collector's Edition,1192270,0,0,"15 Nov, 2019",1,0,1,0,8.19,EUR,0.0,1,0,0,8.19,1
164,164,1192310,KAWAII GIRLS PUZZLE,1192310,0,0,"6 Dec, 2019",1,7,8,2,0.79,EUR,0.0,1,0,0,8.32,10
165,165,1192390,Invisible Enemy,1192390,0,0,"6 Feb, 2020",3,0,0,3,5.69,EUR,0.0,1,0,0,3.0,3
166,166,1192410,Room Escape '1053',1192410,0,0,"12 Dec, 2019",1,0,0,1,,,,1,0,0,,1
167,167,1192420,Shuttle Commander,1192420,0,0,"30 Nov, 2020",1,5,10,9,19.99,EUR,0.0,1,0,0,208.89999999999998,19
168,168,1192500,GraFi Christmas,1192500,0,0,"22 Nov, 2019",2,0,1,1,1.59,EUR,0.0,1,0,0,2.59,2
169,169,1191580,Nexomon,1191580,0,0,"10 Jul, 2020",5,8,395,37,8.19,EUR,0.0,1,1,0,3272.0499999999997,432
170,170,1191590,End of War 1945,1191590,0,0,"8 May, 2020",1,7,9,2,13.49,EUR,0.0,1,0,0,123.41,11
171,171,1191610,Memory,1191610,0,0,"29 Apr, 2020",1,0,1,0,12.49,EUR,0.0,1,0,0,12.49,1
172,172,1191790,The World Is Ruled According to Sexual Prowess So I’m Playing Dirty to Get My Harem Episode 1,1191790,0,0,"20 Jan, 2020",4,0,2,2,3.99,EUR,0.0,1,0,0,9.98,4
173,173,1191820,Spot The Differences 2020 | 大家来找茬 2020,1191820,0,0,"13 Dec, 2019",3,0,3,0,0.79,EUR,0.0,1,0,0,2.37,3
174,174,1191860,Memody: Sindrel Song,1191860,0,0,"6 Dec, 2019",15,7,15,0,8.19,EUR,0.0,1,0,0,122.85,15
175,175,1191900,Say No! More,1191900,0,0,"9 Apr, 2021",4,8,187,12,14.99,EUR,0.0,1,1,0,2815.13,199
176,176,1191940,Deathtrap Dungeon: The Interactive Video Adventure,1191940,0,0,"30 Apr, 2020",1,8,105,8,6.59,EUR,0.0,1,1,0,699.9499999999999,113
177,177,1192060,Virus L,1192060,0,0,"13 Jan, 2020",3,0,0,3,8.19,EUR,0.0,1,0,0,3.0,3
178,178,1191190,War Robots: Planet Defender,1191190,0,0,"18 Dec, 2019",3,0,3,0,5.69,EUR,0.0,1,0,0,17.07,3
179,179,1191210,Seek Girl Ⅲ,1191210,0,0,"5 Dec, 2019",1,8,202,46,0.79,EUR,0.0,1,0,0,205.58,248
180,180,1191280,12 Labours of Hercules X: Greed for Speed,1191280,0,0,"22 Apr, 2020",1,0,4,3,9.99,EUR,0.0,1,1,0,42.96,7
181,181,1191440,Forgotten Ways,1191440,0,0,"27 May, 2020",1,0,1,1,1.59,EUR,0.0,1,0,0,2.59,2
182,182,1191500,Spire of Sorcery (Limited Early Access),1191500,0,0,"14 Nov, 2019",1,5,6,9,20.0,EUR,0.0,1,0,0,129.0,15
183,183,1191510,PixHunter,1191510,0,0,"5 Jan, 2020",1,0,0,1,0.79,EUR,0.0,1,0,0,1.0,1
184,184,1190620,Defence War,1190620,0,0,"22 Nov, 2019",7,0,2,5,2.39,EUR,0.0,1,0,0,9.780000000000001,7
185,185,1190640,Memory Match Saga,1190640,0,0,"22 Nov, 2019",1,0,1,0,1.59,EUR,0.0,1,0,0,1.59,1
186,186,1190750,GameAssistant: The Tool For Every Gamer,1190750,0,1,"2 Mar, 2020",1,0,0,1,,,,1,0,0,,1
187,187,1190760,Tales of the Deck,1190760,0,0,"6 Feb, 2020",3,0,0,3,8.19,EUR,0.0,1,1,0,3.0,3
188,188,1190780,DooM in the Dark 2,1190780,0,0,"21 Nov, 2019",2,0,0,2,6.59,EUR,0.0,1,0,0,2.0,2
189,189,1190810,Ghetto Conspiracy,1190810,0,0,"16 Dec, 2019",8,0,8,0,2.39,EUR,0.0,1,0,0,19.12,8
190,190,1190820,Booobjz,1190820,0,0,"28 Feb, 2021",1,0,6,0,4.99,EUR,0.0,1,0,0,29.94,6
191,191,1190910,Defend Them !,1190910,0,0,"16 Feb, 2021",1,0,1,0,3.99,EUR,0.0,1,0,0,3.99,1
192,192,1190930,ScribbleDude,1190930,0,0,"31 Jan, 2020",6,0,6,0,5.69,EUR,0.0,1,0,0,34.14,6
193,193,1190980,Hoarding Simulator,1190980,0,0,"24 Nov, 2019",1,0,0,1,2.99,EUR,0.0,1,0,0,1.0,1
194,194,1191070,Yuki Onna | 雪女,1191070,0,0,"2 Jan, 2020",3,6,35,11,3.99,EUR,0.0,1,0,0,150.65,46
195,195,1191100,Hentai Waifu,1191100,0,0,"25 Nov, 2019",17,6,13,4,0.79,EUR,0.0,1,1,0,14.27,17
196,196,1190160,LIT: Bend the Light,1190160,0,0,"15 May, 2020",1,8,81,5,5.99,EUR,0.0,1,1,1,490.19,86
197,197,1190180,Arrow,1190180,0,1,"26 Nov, 2019",1,0,1,0,,,,1,0,0,,1
